ItemCode;Descrizione;DescrizioneLunga;Brand;MacroCategoria;Quantita;CostoBase;RicaricoPct;PrezzoVendita;S;L;XL
100016;Apribuste tagliacarte Q-Connect acciaio antiruggine 19 cm KF03983;Apri-busta con impugnatura ergonomica in plastica con gommatura morbida, ideale per una presa salda e confortevole. La lama in acciaio antiruggine assicura un taglio preciso e duraturo, perfetto per un utilizzo prolungato. Design compatto e resistente, ideale per casa e ufficio. Colore: nero.;;Spedizione;102;1.33;50.0;2.0;https://asset.pbs-holding.com/asset/S/105/1421105.jpg;https://asset.pbs-holding.com/asset/L/105/1421105.jpg;https://asset.pbs-holding.com/asset/XL/105/1421105.jpg
100017;Apribuste tagliacarte Q-Connect acciaio inossidabile 24,5 cm KF03984;Elegante e resistente, questo apri-busta è dotato di impugnatura ergonomica e lama in acciaio antiruggine, garantendo precisione e durata nel tempo. La superficie liscia e lucida aggiunge un tocco di raffinatezza, rendendolo ideale per l?uso quotidiano in ufficio o a casa. Perfetto per chi cerca un accessorio pratico ed esteticamente curato. Colore: argento.;;Spedizione;129;2.2;50.0;3.3;https://asset.pbs-holding.com/asset/S/772/2184772.jpg;https://asset.pbs-holding.com/asset/L/772/2184772.jpg;https://asset.pbs-holding.com/asset/XL/772/2184772.jpg
100018;Apribuste tagliacarte in blister Q-Connect acciaio/legno 21,5 cm KF03985;Questo apri-busta conquista con la sua impugnatura in legno marrone. Inoltre dispone di una lama in acciaio antiruggine. Prodotto blisterato.;;Spedizione;24;1.45;50.0;2.17;https://asset.pbs-holding.com/asset/S/109/1421109.jpg;https://asset.pbs-holding.com/asset/L/109/1421109.jpg;https://asset.pbs-holding.com/asset/XL/109/1421109.jpg
100019;Forbici Westcott Soft Grip Easy Grip blu/nero simmetriche 14 cm E-30250 00;"Le forbici Softgrip Easy Grip convincono con le impugnature in plastica colorate. Le lame in acciaio antiruggine diritte e simmetriche garantiscono tagli precisi; un?ulteriore comodità è offerta dalle impugnature colorate Softgrip con anelli interni morbidi, che permettono di eseguire lavori molto precisi in modo agevole. Lunghezza totale: 14 cm. Garanzia di 10 anni.";;Cancelleria;178;1.13;70.0;1.92;https://asset.pbs-holding.com/asset/S/166/1463166.jpg;https://asset.pbs-holding.com/asset/L/166/1463166.jpg;https://asset.pbs-holding.com/asset/XL/166/1463166.jpg
100021;Forbici Westcott Soft Grip Easy Grip blu/nero simmetriche 17,5 cm E-30271 00;"La forbice Softgrip Easy Grip convince con le sue impugnature in plastica colorate. Le lame in acciaio antiruggine diritte e simmetriche garantiscono tagli precisi; un?ulteriore comodità è offerta dalle impugnature Softgrip con anelli interni morbidi, che permettono di eseguire lavori molto precisi in modo agevole. Garanzia di 10 anni. Lunghezza totale: 17,5 cm.";;Cancelleria;89;1.47;70.0;2.5;https://asset.pbs-holding.com/asset/S/167/1463167.jpg;https://asset.pbs-holding.com/asset/L/167/1463167.jpg;https://asset.pbs-holding.com/asset/XL/167/1463167.jpg
100022;Forbici per mancini Westcott Soft Grip Easy Grip asimmetriche - 20,1 cm blu/nero - E-30282 00;"La forbice per mancini Softgrip Easy Grip convince con le sue impugnature arcuate asimmetriche, in plastica colorate. Le lame in acciaio antiruggine garantiscono tagli precisi; un?ulteriore comodità è offerta dalle impugnature Softgrip con anelli interni morbidi, che permettono di eseguire lavori molto precisi in modo agevole. Garanzia di 10 anni. Lunghezza totale: 20,1 cm.";;Cancelleria;28;1.59;70.0;2.7;https://asset.pbs-holding.com/asset/S/169/1463169.jpg;https://asset.pbs-holding.com/asset/L/169/1463169.jpg;https://asset.pbs-holding.com/asset/XL/169/1463169.jpg
100023;Forbici Westcott Soft Grip Easy Grip asimmetriche blu/nero 20,1 cm E-30283 00;"La forbice Softgrip Easy Grip convince con le sue impugnature arcuate asimmetriche in plastica colorata. Le lame in acciaio antiruggine garantiscono tagli precisi; un?ulteriore comodità è offerta dalle impugnature Softgrip con anelli interni morbidi, che permettono di eseguire lavori molto precisi in modo agevole. Garanzia di 10 anni. Lunghezza totale: 20,1 cm.";;Cancelleria;320;1.86;70.0;3.16;https://asset.pbs-holding.com/asset/S/168/1463168.jpg;https://asset.pbs-holding.com/asset/L/168/1463168.jpg;https://asset.pbs-holding.com/asset/XL/168/1463168.jpg
100024;Forbici Westcott Soft Grip Easy Grip asimmetriche blu/nero 24,7 cm E-30293 00;"La forbice Softgrip Easy Grip convince con le sue impugnature arcuate asimmetriche in plastica colorata. Le lame in acciaio antiruggine garantiscono tagli precisi; un?ulteriore comodità è offerta dalle impugnature Softgrip con anelli interni morbidi, che permettono di eseguire lavori molto precisi in modo agevole. Garanzia di 10 anni. Lunghezza totale: 24,7 cm.";;Cancelleria;81;2.41;70.0;4.1;https://asset.pbs-holding.com/asset/S/62/1432062.jpg;https://asset.pbs-holding.com/asset/L/62/1432062.jpg;https://asset.pbs-holding.com/asset/XL/62/1432062.jpg
100025;Forbici universali in blister Q-Connect Elite Softgrip grigio/verde 18 cm KF03986;Le forbici universali Q-Connect conquistano con le loro impugnature in plastica colorata. Le lame simmetriche in acciaio inox garantiscono tagli precisi. Un?ulteriore comodità è offerta dalle impugnature Softgrip con anelli interni morbidi, che permettono di eseguire lavori molto precisi in modo agevole. Realizzate in materiale plastico in parte riciclato. Prodotto blisterato.;;Cancelleria;128;1.58;70.0;2.69;https://asset.pbs-holding.com/asset/S/10/1421010.jpg;https://asset.pbs-holding.com/asset/L/10/1421010.jpg;https://asset.pbs-holding.com/asset/XL/10/1421010.jpg
100026;Forbici universali in blister Q-Connect Elite Softgrip lame 21 cm asimmetriche grigio/verde - KF03987;Le forbici universali Q-Connect conquistano con le loro impugnature in plastica colorata. Le lame asimmetriche in acciaio inox garantiscono tagli precisi. Un?ulteriore comodità è offerta dalle impugnature Softgrip ergonomiche con anelli interni morbidi, che permettono di eseguire lavori molto precisi in modo agevole. Realizzate in materiale plastico in parte riciclato. Prodotto blisterato.;;Cancelleria;159;1.89;70.0;3.21;https://asset.pbs-holding.com/asset/S/593/1993593.jpg;https://asset.pbs-holding.com/asset/L/593/1993593.jpg;https://asset.pbs-holding.com/asset/XL/593/1993593.jpg
